8843
512 511
235 239 25
10 62 25
139 435 25
418 419 25
48 113 25
51 126 25
257 368 26
86 118 26
139 399 26
16 65 26
65 111 10
111 119 6
5 417 26
417 485 3
37 249 26
249 357 11
357 375 5
357 452 25
7 222 27
31 149 27
289 295 27
69 244 27
144 473 28
157 60 28
60 377 2
377 89 28
89 346 3
346 114 16
210 67 28
446 501 28
202 458 28
458 490 25
490 511 18
187 315 28
95 380 28
63 61 29
7 448 29
448 449 11
448 341 12
149 216 29
137 120 29
305 481 29
195 248 29
248 220 10
146 158 30
330 378 30
378 329 28
345 469 30
469 407 24
192 217 30
227 245 31
385 226 31
226 354 25
22 339 31
81 253 31
152 412 31
208 489 31
489 433 0
489 361 3
433 434 12
158 40 32
40 109 11
107 301 32
172 175 33
10 502 33
292 309 33
309 360 30
417 499 33
465 496 33
288 49 34
314 46 35
470 474 35
26 90 35
399 171 35
23 117 35
229 153 36
230 242 36
100 102 36
18 106 36
48 115 37
18 131 38
260 308 38
308 127 26
370 285 39
285 281 30
413 173 39
55 110 39
110 365 21
365 381 30
305 265 39
42 298 40
41 237 40
237 238 35
238 233 37
345 286 40
286 271 33
57 443 41
406 492 41
454 486 41
486 178 2
220 342 42
342 462 24
142 255 43
488 423 43
372 468 44
4 397 44
151 191 45
106 482 45
97 241 47
509 334 47
130 472 48
337 371 48
371 355 42
274 483 48
332 467 48
410 450 49
445 437 50
370 123 52
221 471 52
426 427 52
332 506 52
506 497 49
419 429 52
403 351 56
195 199 56
398 287 57
118 343 57
225 461 58
367 431 58
401 491 59
155 507 61
296 303 61
127 15 61
208 331 62
176 424 63
424 440 46
74 207 69
437 405 70
16 311 70
102 250 73
392 479 74
289 359 76
21 327 76
80 121 81
121 93 10
388 455 83
454 438 83
106 383 85
293 267 89
