37004
2048 2047
269 89 5
1283 1506 7
1283 833 7
1506 1934 8
1056 260 8
260 512 1
512 896 2
896 1683 1
896 768 1
768 1578 0
1578 552 2
512 1030 2
768 1897 4
1897 844 3
896 262 4
844 606 5
1030 1042 6
1030 1036 6
1036 288 4
288 356 2
356 302 3
356 213 3
1042 66 7
66 1602 1
606 584 7
584 745 1
584 883 6
584 964 8
68 593 8
608 1617 8
1034 1066 8
1066 1078 5
1168 1552 8
1552 1104 1
1104 48 0
1552 1234 2
48 692 5
48 84 6
84 81 4
81 1457 1
81 449 4
449 497 2
84 128 8
128 130 5
130 524 3
524 1037 0
1037 1481 1
1037 1 2
1 949 1
1 1396 3
1 1429 6
130 178 7
128 12 8
12 1059 7
12 1134 8
1170 1110 8
128 744 9
744 1791 2
744 632 3
632 623 9
449 453 9
593 621 9
81 98 9
1920 1832 9
1064 45 9
45 31 2
1 1649 9
580 80 9
80 402 0
1375 1829 9
1829 1588 5
1829 839 5
839 935 8
546 1554 9
296 1225 9
1225 1224 8
1224 451 5
1527 2017 9
1070 238 9
20 1564 9
52 117 9
732 141 9
141 1089 1
1089 1041 2
1089 163 7
163 1347 7
2 1040 9
658 410 9
1280 1371 9
193 457 9
457 2025 2
1034 17 9
17 1050 2
1050 50 2
50 160 0
17 99 4
484 804 9
416 672 9
528 513 9
513 1545 8
1494 1622 9
1077 1106 9
1106 1332 1
1106 1456 1
1456 1204 3
1204 1777 1
1106 1073 5
1332 2020 7
272 1296 9
1296 1808 9
1808 1982 0
1808 320 8
320 328 1
328 325 2
320 332 4
325 225 5
225 353 1
353 821 0
328 1289 5
225 70 9
1030 582 10
582 263 10
263 291 9
291 1792 4
291 417 7
160 69 10
69 275 10
275 241 7
241 368 1
275 83 8
83 556 0
556 525 3
525 277 0
556 932 5
556 460 5
932 984 6
984 1836 1
984 760 2
932 448 8
448 1221 1
83 218 8
218 592 6
1554 1938 10
3 598 10
598 590 8
80 209 10
209 94 7
353 329 10
329 192 4
192 137 3
137 573 8
573 123 8
123 1125 10
1125 29 2
29 23 0
262 278 10
278 281 4
178 147 10
513 1651 10
99 102 10
1787 1730 10
866 1129 10
1129 1593 10
1129 1253 10
896 640 10
640 663 2
640 1583 3
640 902 8
640 1665 10
1152 897 10
897 969 0
296 1049 10
2017 1637 10
1637 1477 4
1408 1458 10
1777 1393 10
332 109 10
1683 1075 10
1070 1692 10
1979 1751 10
1316 1569 10
129 144 10
144 154 3
154 146 1
146 33 0
33 1299 0
33 1698 3
33 1318 5
1318 1568 5
1568 1717 2
1717 1337 4
1337 1468 1
154 398 6
398 1358 3
1358 376 5
376 1403 6
33 305 7
305 313 2
305 387 7
305 579 8
579 589 1
1299 1919 9
313 889 10
1217 1413 10
436 660 10
660 1664 2
1664 657 8
1032 1161 10
1161 1323 4
1161 75 7
193 1025 10
1025 1330 3
1330 370 1
1025 5 5
5 85 3
5 1061 5
5 256 5
256 817 1
817 572 2
817 848 5
572 671 6
1330 1387 7
1387 1530 3
1387 333 7
333 981 2
256 945 8
256 352 8
352 1126 3
1126 1122 2
352 778 3
1122 595 4
595 1874 6
1874 1785 7
1785 1595 2
1122 1142 7
1122 1386 9
817 24 10
24 1417 3
370 338 10
338 1360 6
1360 881 4
1280 1281 10
1281 1539 2
32 698 10
481 633 10
545 801 10
801 673 0
801 411 3
38 654 10
648 700 10
578 1345 10
1345 1344 4
1344 1362 1
1345 1088 4
1088 1736 0
1088 359 1
1345 849 9
849 853 8
853 855 9
855 780 4
780 596 11
596 1100 0
697 1709 11
1709 1485 6
1106 1045 11
1045 1187 5
1187 55 0
1187 1107 7
1107 1123 6
1045 1173 8
1045 149 8
149 461 3
461 1354 9
209 208 11
208 397 0
208 468 1
208 1128 3
208 915 4
397 1984 5
1984 794 2
1128 1114 6
208 91 7
91 131 1
131 1171 2
131 1995 9
1126 1573 11
1253 195 11
1349 1367 11
1036 1026 11
1026 1738 10
1738 1048 8
1048 539 8
539 1536 6
1536 1024 6
1024 1130 1
1024 15 2
15 1609 7
1536 612 7
612 800 0
1738 705 8
705 677 3
705 65 4
65 93 3
705 1927 5
705 600 5
65 561 6
561 1841 3
705 1668 6
1668 604 6
1927 471 8
65 324 8
324 1370 9
1024 1352 9
93 345 10
612 868 10
839 858 11
45 61 11
61 1404 7
1404 756 9
756 530 6
530 787 0
530 90 5
90 122 6
122 544 1
544 1544 1
122 1278 5
787 771 6
771 879 5
756 714 8
0 1604 11
1604 1288 8
192 194 11
194 340 2
194 1156 3
1156 1180 1
1180 1436 0
1180 412 7
412 601 6
601 1567 2
340 212 7
340 854 9
194 793 10
194 1291 10
1291 1821 10
1821 2012 7
2012 876 9
333 381 11
288 321 11
321 1667 6
321 435 10
1070 1062 11
1062 223 3
1062 487 4
487 997 10
997 979 9
1588 1748 11
1748 1372 4
392 450 11
0 425 11
1289 1402 11
115 609 11
609 228 11
1224 1256 11
61 54 11
1919 1582 11
1582 1198 7
1874 1796 11
1796 516 3
516 1600 2
1600 1216 7
1216 1236 9
1236 1182 0
1236 1521 1
1521 1327 3
1236 1232 6
1232 637 0
1232 504 5
338 1489 11
1489 1495 2
1495 464 1
1495 2010 3
49 1179 11
5 1060 11
1024 688 11
81 1163 11
671 542 11
267 779 11
1757 910 11
910 774 8
1319 1849 11
1156 1605 11
1605 1636 2
277 1063 11
1063 782 1
604 1561 11
115 731 11
449 752 11
752 336 5
336 978 1
978 912 2
912 406 11
406 386 3
386 443 7
443 917 4
443 379 4
68 166 11
209 181 11
1730 1607 11
96 344 11
193 659 11
1034 1112 11
1112 92 3
92 1118 5
1118 1111 10
1112 156 10
528 1302 11
272 432 11
432 496 8
496 465 11
496 67 11
67 1474 3
67 747 4
272 1044 11
1044 1549 1
1549 1932 0
1932 916 3
916 1292 10
260 172 11
1408 1444 12
497 901 12
1059 1410 12
1777 2016 12
1319 2007 12
2020 936 12
936 999 5
936 724 11
1730 390 12
390 476 10
390 1926 11
1337 1031 12
1031 646 0
1031 1035 6
1035 14 10
1031 1284 11
1284 1677 4
256 1802 12
778 827 12
11 189 12
189 1248 1
1248 161 6
161 426 11
397 971 12
1026 1305 12
1305 308 10
308 289 10
289 294 0
612 656 12
656 1553 3
1316 1328 12
1165 1055 12
1055 567 9
2043 2001 12
1011 1977 12
1536 1538 12
1538 1739 12
450 1250 12
224 972 12
972 1560 3
432 242 12
1796 772 12
772 925 1
772 784 5
96 1336 12
1336 543 4
543 219 1
1336 1828 10
1828 1722 11
1548 1804 12
496 1341 12
11 323 12
390 1856 12
1856 1298 1
1025 1057 12
1057 1389 4
1057 1113 8
897 777 12
777 846 5
777 664 11
664 240 11
240 420 3
420 1266 12
344 456 12
456 1228 11
660 60 12
60 127 1
60 1132 6
35 293 12
293 43 3
1280 1160 12
1160 1208 2
1160 1571 11
1571 1139 12
484 164 12
164 1164 3
1164 396 0
164 693 8
164 1169 9
396 904 10
904 965 2
648 184 12
184 934 9
78 158 12
158 1490 1
648 681 12
1541 1557 12
1541 1415 12
1784 25 12
25 1051 10
1051 34 5
1051 913 11
58 1137 12
1283 1038 12
1038 1670 12
1670 1755 7
449 1987 13
138 670 13
1429 445 13
513 776 13
776 529 3
529 1098 6
1098 1830 1
776 322 7
322 282 0
225 53 13
592 597 13
145 720 13
352 1090 13
633 1401 13
1344 611 13
611 585 0
1314 1326 13
612 869 13
1488 434 13
1180 1794 13
1794 18 0
18 167 5
129 63 13
1291 535 13
535 1942 4
535 519 6
519 199 10
1942 2002 12
129 1409 13
293 300 13
300 1304 5
388 492 13
492 236 12
236 136 10
1179 143 13
1096 1313 13
1313 1826 1
1826 1963 8
1963 1592 0
1826 1910 10
164 56 13
2 522 13
522 988 6
988 862 0
862 860 10
1610 1892 13
1892 1383 1
1856 1608 13
1608 1800 0
776 520 13
1984 840 13
774 1416 13
611 1267 13
1490 1238 13
1238 134 11
774 880 13
880 1876 9
1444 1440 13
658 407 13
225 1252 13
86 1206 13
1206 1210 0
86 1671 13
798 1618 13
674 1951 13
1 7 14
7 337 5
337 342 4
7 113 9
113 625 10
457 509 14
2025 990 14
1106 210 14
210 1912 0
210 217 7
1168 1450 14
1450 419 13
419 802 8
298 939 14
939 2035 6
939 361 12
361 106 13
106 1632 10
1632 1650 9
1650 1654 11
256 292 14
292 374 7
292 105 11
1736 1768 14
1768 742 0
1768 1704 1
1704 232 2
742 710 3
710 743 13
743 357 2
743 683 10
65 576 14
1246 1260 14
1260 478 3
345 157 14
157 1437 3
397 140 14
396 1752 14
34 1570 14
34 816 14
776 809 14
809 811 1
809 274 9
274 1054 12
282 1300 14
869 629 14
136 1520 14
453 1348 14
1348 1994 6
464 712 14
712 222 4
32 890 14
890 895 0
1796 996 14
996 1992 5
337 403 14
146 1052 14
113 1377 14
586 682 14
710 1674 14
67 82 14
1111 404 14
901 261 14
261 285 1
261 909 7
909 966 3
909 287 8
261 1095 11
1095 1254 8
261 1811 11
1811 538 10
538 1584 7
261 645 12
645 1540 11
287 316 13
646 486 14
486 1382 6
658 563 14
1163 280 14
280 1287 9
236 751 14
751 470 10
1600 834 14
834 851 7
1076 177 14
177 429 0
16 76 14
1506 472 14
472 1620 6
1620 1662 4
130 132 15
132 165 4
165 773 10
165 171 11
1089 1356 15
99 299 15
70 1988 15
1988 1713 12
1713 560 7
560 307 0
329 1834 15
23 647 15
33 1696 15
1696 1952 8
657 1720 15
1555 631 15
1595 622 15
1011 1656 15
1656 200 11
1656 706 12
706 1091 4
1370 1817 15
610 1002 15
544 805 15
805 1577 2
805 246 2
805 992 4
656 792 15
792 1369 8
1369 1109 14
18 19 15
19 182 7
182 678 6
19 107 11
136 652 15
652 806 9
1592 587 15
587 1391 2
1391 125 14
125 1148 15
1148 1124 1
1124 244 0
244 97 8
435 1201 15
470 1237 15
712 828 15
828 1712 0
1712 1272 12
782 395 15
1849 826 15
1 401 15
401 393 2
393 1819 4
1060 630 15
630 1878 4
630 532 6
532 960 4
532 1046 14
532 534 15
534 279 1
279 523 8
523 987 13
136 153 15
94 1150 15
714 506 15
282 1307 15
528 1596 15
864 1772 15
690 1603 15
10 769 16
769 789 0
789 796 5
769 788 9
178 214 16
332 1798 16
1253 37 16
298 41 16
536 30 16
30 120 5
30 108 14
1413 462 16
1664 649 16
1387 427 16
2047 1882 16
1882 1753 2
1230 1551 16
1551 1058 6
1058 1200 7
61 571 16
571 1812 8
129 1285 16
1285 1295 6
42 312 16
1305 761 16
1160 650 16
650 707 4
707 1733 10
904 1018 16
1018 1936 12
1936 1946 14
1018 251 14
251 1779 1
199 1219 16
1219 903 1
1219 1329 2
171 1445 16
1304 1324 16
199 197 16
197 727 11
1178 1737 16
1737 1672 6
611 832 16
832 995 15
641 21 16
21 46 0
476 474 16
20 188 16
425 503 16
1029 565 16
565 1700 6
1068 1980 16
768 1816 17
1816 888 0
1047 1079 17
1079 1431 10
1079 1138 13
288 1335 17
1335 9 2
259 1903 17
204 221 17
1041 1119 17
672 729 17
729 825 11
825 929 2
929 865 6
825 318 10
865 1441 14
1025 1177 17
1177 1424 0
1424 1233 1
1424 176 7
1177 77 8
77 110 4
176 1074 12
77 861 14
77 581 15
338 1366 17
1360 1824 17
301 1831 17
787 121 17
879 813 17
813 924 11
1926 1806 17
972 1956 17
203 1255 17
1178 1434 17
1434 926 15
8 661 17
481 1411 17
1411 1157 4
1411 1921 14
316 377 17
1034 139 17
139 1033 10
1033 1961 17
936 940 17
876 577 17
577 1537 13
1109 1364 17
1046 1365 17
1980 1028 17
1028 101 2
101 1684 0
1028 1131 6
1849 1648 17
572 918 17
918 415 10
918 790 17
790 900 1
790 642 10
790 1822 12
1030 270 17
1582 1839 17
449 467 18
80 1381 18
1106 1418 18
353 993 18
1375 1771 18
1836 1833 18
555 47 18
657 665 18
794 347 18
1114 635 18
635 190 14
997 1993 18
450 466 18
504 920 18
1292 1814 18
294 295 18
385 1762 18
1571 1940 18
1940 1879 14
1670 1550 18
1206 442 18
337 1207 18
1752 1728 18
1348 1846 18
132 44 18
44 1455 3
25 1641 18
1641 1931 12
393 73 18
73 248 16
197 1786 18
503 317 18
317 1917 16
1028 1732 18
1732 1616 11
808 490 18
490 283 11
1282 1446 18
1078 1268 19
1268 1476 0
84 341 19
84 1472 19
1037 1840 19
1059 355 19
355 1601 1
1064 1261 19
160 1343 19
1792 1960 19
460 463 19
536 1864 19
551 230 19
230 231 0
231 421 17
794 475 19
544 704 19
1796 423 19
1600 583 19
504 616 19
1284 1870 19
112 100 19
100 628 7
1794 1929 19
478 394 19
394 1186 1
394 135 4
135 151 6
1186 1190 11
1348 220 19
1304 1448 19
12 620 19
620 557 12
108 382 19
1603 1629 19
727 1943 19
1033 1673 19
1384 1500 19
272 6 19
6 1686 1
6 39 3
6 1162 5
6 142 8
1162 1626 19
1349 413 20
1803 1321 20
1321 1465 7
178 243 20
243 187 8
187 155 2
187 728 7
325 837 20
72 216 20
216 330 0
330 1004 9
216 1258 12
1258 491 9
1583 1071 20
1071 1195 3
1195 1193 17
1193 1205 17
146 215 20
215 343 10
343 1203 14
589 613 20
1354 1359 20
1560 624 20
624 1585 13
1794 1827 20
992 526 20
1608 1694 20
113 1143 20
1217 1249 20
777 835 20
835 454 20
609 873 20
1864 1866 20
688 568 20
568 822 12
822 566 3
822 1964 15
1964 1957 3
566 956 18
956 1379 17
568 952 18
415 1432 20
1220 1872 20
101 1263 20
785 1301 20
130 447 21
12 310 21
310 483 5
483 1149 1
1149 1325 8
1325 1453 16
1666 1158 21
1158 1167 7
1158 1861 17
1861 1891 12
1285 1859 21
370 812 21
848 1986 21
1986 1873 4
1986 1862 8
1862 591 6
698 680 21
680 1209 0
680 953 20
1026 1638 21
1638 1591 8
1591 1590 4
1638 687 12
687 1188 16
1591 1723 19
1723 1774 7
1723 1574 11
1932 2046 21
1058 807 21
807 1572 16
1154 1412 21
1856 2006 21
282 27 21
27 537 6
27 1309 11
1309 1813 5
357 229 21
1437 207 21
251 1027 21
1027 1218 17
1488 1454 21
774 1922 21
1922 1937 20
1096 1523 21
425 169 21
169 1452 11
1076 1902 21
547 133 21
785 1853 21
1713 1333 22
1099 1851 22
1851 1842 11
1842 842 5
842 841 3
842 1871 17
1871 1999 5
1040 1322 22
1322 1470 22
1470 1172 6
1172 1116 13
1470 1497 19
984 859 22
1651 1241 22
5 303 22
271 1447 22
1024 1451 22
876 517 22
517 1923 11
1923 1809 16
161 369 22
294 748 22
1313 1699 22
1584 1682 22
1682 928 4
928 736 0
1957 2009 22
1152 1528 22
257 775 22
952 1010 22
1786 1522 22
330 970 22
970 942 17
942 1948 16
1948 1464 0
1268 2030 22
110 1646 22
1646 1294 7
1294 331 16
1365 409 22
28 702 22
528 1697 22
1697 559 12
402 148 23
1861 1517 23
1312 1215 23
1215 679 21
1798 1858 23
1504 1505 23
1505 1133 10
1133 1529 20
1529 1512 9
756 1244 23
530 1776 23
676 734 23
194 252 23
435 227 23
1062 1908 23
301 399 23
399 1153 1
1153 1185 6
96 944 23
901 1990 23
1990 1991 16
172 1904 23
1904 2032 2
1341 1471 23
693 695 23
1098 1290 23
1090 845 23
520 2040 23
526 746 23
1250 499 23
436 686 23
1281 265 23
265 803 1
265 175 20
1010 1760 23
1760 2008 2
1760 1587 10
1587 1606 11
1682 1844 23
807 1729 23
1626 1586 23
466 1439 23
1439 1320 17
1320 1852 14
1852 1543 4
0 1145 24
80 500 24
500 836 23
836 1924 20
277 1020 24
209 1726 24
1569 1067 24
1458 458 24
458 498 14
1070 1231 24
1780 723 24
1024 1072 24
1072 1080 18
561 1981 24
1180 569 24
458 1000 24
1000 1515 20
901 725 24
465 489 24
35 327 24
112 114 24
114 371 8
371 1136 0
1136 1392 3
114 180 12
1800 781 24
781 564 7
781 797 11
797 1628 21
895 884 24
1040 1562 24
1320 968 24
1320 360 24
360 493 10
1819 1310 24
38 74 24
698 1257 24
1257 2027 22
2027 2015 6
130 1174 25
1174 1081 2
204 588 25
1944 927 25
927 735 19
198 438 25
448 1484 25
1484 1378 5
596 814 25
1984 1996 25
1048 1676 25
194 730 25
730 722 16
730 699 20
699 603 3
603 170 2
699 1835 14
170 1514 21
519 527 25
1553 1640 25
1640 1644 21
152 1690 25
1690 446 17
1034 1566 25
860 380 25
1080 1259 25
676 1390 25
1218 1766 25
1379 1338 25
1921 933 25
1028 1624 25
1784 977 25
977 1478 8
977 921 17
643 562 26
562 1911 17
1911 983 19
1808 1361 26
984 205 26
1152 1865 26
599 711 26
897 422 26
568 696 26
33 675 26
675 937 11
384 71 26
71 13 26
24 1144 26
1539 1625 26
1625 1657 20
1625 1175 21
1175 1222 14
1222 1223 10
1250 1274 26
1169 1623 26
1 372 26
520 617 26
642 1680 26
980 2026 26
2026 366 11
366 554 1
366 103 20
2026 998 24
606 733 27
584 1740 27
1408 1793 27
291 1342 27
1386 1898 27
1574 518 27
774 810 27
646 1688 27
360 284 27
456 1240 27
1240 976 14
1240 304 26
1704 346 27
1254 1196 27
1729 709 27
709 455 7
709 717 18
709 549 20
549 741 13
107 1315 27
532 726 27
462 850 27
1138 1140 27
21 1795 27
176 116 27
162 548 27
548 431 5
548 930 16
930 1363 20
930 1449 25
1 550 28
550 1614 19
1204 1508 28
526 1546 28
1168 1461 28
557 749 28
749 2031 16
749 991 27
1536 931 28
931 1435 23
1024 1801 28
800 689 28
689 691 8
691 1053 12
1053 1503 8
1053 1430 27
1430 1214 12
689 1681 27
1681 1716 11
1681 1245 15
544 1634 28
724 758 28
758 878 7
758 765 18
758 245 27
245 1181 18
245 721 18
1071 1576 28
587 1613 28
936 418 28
110 126 28
1404 886 28
1192 250 28
1570 1708 28
538 1579 28
538 1082 28
500 351 28
1858 433 28
1522 1516 28
1516 511 7
377 1913 28
1922 1818 28
537 1039 28
1039 1229 9
1956 1966 28
896 314 29
314 315 0
314 62 8
62 2036 10
2036 1524 26
593 867 29
825 1085 29
794 1880 29
1108 1086 29
516 1885 29
609 1675 29
126 1655 29
721 1770 29
1793 1556 29
576 553 29
1712 1968 29
2009 2042 29
1295 1438 29
940 1725 29
2015 1721 29
1721 1083 5
1733 1933 30
356 1888 30
1888 469 2
1888 1473 29
130 708 30
744 1135 30
453 95 30
672 1008 30
241 653 30
154 1905 30
5 669 30
1360 452 30
1366 1975 30
1975 951 15
937 1969 30
1969 1394 2
1600 1875 30
1875 1918 18
184 740 30
740 570 11
740 119 28
1635 1269 30
519 684 30
1508 1460 30
1608 1663 30
419 441 30
942 1423 30
1574 1701 30
466 1782 30
874 378 30
0 124 31
124 638 17
638 1741 14
638 607 25
607 716 3
545 558 31
1040 540 31
353 1985 31
1664 1542 31
1100 1103 31
710 870 31
917 871 31
871 994 26
999 477 31
1083 799 31
1585 1983 31
1688 1368 31
399 1275 31
1150 1597 31
1957 1935 31
918 950 31
950 941 26
1077 1483 31
238 367 32
225 1633 32
1413 1340 32
1485 753 32
868 639 32
610 713 32
713 1765 18
1765 1761 11
1288 1643 32
190 414 32
569 685 32
1796 1308 32
656 1265 32
112 247 32
904 898 32
898 962 5
898 914 22
492 877 32
877 651 0
651 703 32
998 938 32
938 191 15
1809 922 32
922 795 0
788 1589 32
1233 1619 32
1619 1807 26
1104 1493 33
598 1630 33
576 1735 33
1048 375 33
1807 1797 33
1063 174 33
381 405 33
1082 1658 33
1613 907 33
907 1959 1
1361 1385 33
458 893 33
1381 1525 33
618 856 34
315 1015 34
497 495 34
1134 1642 34
204 948 34
1018 1462 34
29 957 34
957 1693 19
1984 1900 34
590 206 34
1044 1239 34
68 614 34
614 1702 9
716 1756 34
681 757 34
95 111 34
553 183 34
1779 1146 34
1146 118 14
118 1351 0
1437 1669 34
1810 2034 34
151 1463 34
1861 1884 34
702 905 34
905 824 11
824 1627 22
472 1868 35
821 885 35
9 521 35
521 1001 13
147 1945 35
1330 819 35
819 701 14
1116 1565 35
1565 838 23
1819 923 35
1055 350 35
1000 362 35
1394 1906 35
1885 335 35
1762 1009 35
66 459 36
1744 1746 36
144 87 36
87 831 5
1436 1414 36
1809 1973 36
1402 766 36
155 473 36
67 627 36
784 408 36
1655 1653 36
931 1442 36
1442 1954 19
1699 943 36
943 750 21
750 1639 5
624 531 36
58 444 36
1349 2021 36
526 364 37
273 786 37
1806 1837 37
945 1928 37
1314 1400 37
898 1422 37
1875 1426 37
178 1724 38
535 1719 38
1864 1611 38
1025 1427 38
1427 1687 20
1878 1558 38
1220 1518 38
495 911 38
540 286 38
1801 1989 38
404 249 38
249 168 30
168 634 7
130 967 39
1826 1395 39
1730 1678 39
1678 1958 39
1323 1843 39
1600 1881 39
1540 1599 39
1672 1705 39
790 1823 39
964 908 40
1059 233 40
1204 694 40
411 954 40
268 1262 40
1262 986 9
1292 373 40
950 759 40
816 311 40
322 1867 40
1217 1226 40
1798 1894 41
579 1863 41
1142 1883 41
338 1775 41
152 667 41
1024 88 41
786 1955 41
1955 2019 25
2019 1978 17
335 349 41
1035 1127 41
1681 1769 41
1963 1930 41
1930 1691 1
1930 1480 6
1480 1482 30
761 1016 41
1622 1710 42
320 1498 42
1124 1277 42
1130 485 42
1112 1242 42
1018 1176 42
1994 1559 42
811 1890 42
1034 1166 42
1166 1707 37
1707 1711 8
1707 1331 41
1331 1467 1
678 1397 42
92 636 43
636 1661 0
1661 1466 15
1661 1647 26
636 1547 26
293 715 43
1056 235 43
1353 847 43
623 767 44
907 947 44
693 541 44
541 1679 3
1878 1014 45
1014 894 29
894 892 40
1925 1183 45
608 1767 45
1184 2018 45
1329 1953 45
1905 1778 45
47 1065 45
258 875 45
938 815 46
22 1575 46
1450 2028 46
1681 1749 47
1954 1202 47
126 655 47
723 1097 47
832 887 48
1477 2045 48
2045 1598 18
1984 1507 48
756 480 48
1153 1227 48
1344 1860 49
1016 1820 49
1820 1855 4
1026 1479 49
204 1197 49
1880 1896 49
790 791 49
1408 1355 49
104 59 50
1135 1580 50
540 1950 50
102 79 50
612 1645 50
725 605 50
605 1117 49
242 1399 50
558 1998 50
514 1747 50
1554 1425 51
1425 1339 7
344 857 51
496 1235 51
156 2014 51
418 738 51
1297 1652 51
80 818 52
1564 1311 52
208 1758 52
1292 1293 52
1293 1420 11
1293 1532 48
1802 1706 52
1267 1273 52
2009 2000 52
1765 1443 53
301 1279 53
1172 2003 53
114 1398 53
326 843 53
843 719 10
1325 1419 54
579 863 54
1386 1350 54
786 1970 54
832 1764 54
1764 754 9
1617 1877 55
760 1021 55
20 1492 55
832 919 55
178 494 56
171 1270 56
1242 1790 56
1746 1475 56
802 946 56
946 1534 19
642 739 56
1589 1718 56
457 510 57
1235 1243 57
335 882 57
950 989 57
1583 159 58
1477 1487 58
758 959 58
1722 319 58
59 1915 59
656 899 59
136 1421 59
1810 1406 59
1406 1533 35
1149 1501 60
1503 975 60
1675 1251 60
1251 479 52
1138 179 61
641 1689 61
158 1102 62
1102 718 38
1520 254 62
802 1799 62
462 1509 62
1512 1199 62
1681 1685 62
416 755 62
1442 1971 62
736 2033 62
1729 1889 63
451 2041 63
1905 1907 63
477 1886 63
1070 830 64
45 1848 65
1419 507 65
908 365 65
1924 1895 65
1895 2039 1
1996 1854 65
544 872 65
1062 1535 65
1535 783 49
75 1869 66
1910 1631 66
1037 1789 67
1789 1727 35
101 1151 67
1797 1857 67
1066 1194 68
430 973 68
318 1334 68
1334 1303 60
1144 1499 68
728 1731 68
703 1023 68
1114 1887 69
307 1147 69
1696 1972 69
1685 1759 69
1108 1373 69
1373 1621 4
668 762 69
646 1191 70
80 1788 71
25 253 71
1033 1743 71
1530 502 72
1587 575 73
1712 1659 73
1596 1660 73
1418 1486 74
1047 1141 74
1935 1845 74
1873 1115 75
418 1962 75
2015 982 76
1711 1019 77
1019 1531 63
749 1513 77
1653 1893 77
1171 1763 77
1763 2022 19
2022 1006 3
241 2013 79
1991 1695 79
1766 1519 79
1593 1781 80
1732 1745 80
1720 1502 80
1841 619 80
308 437 81
897 2005 81
1460 763 81
1167 1511 82
1511 963 64
1468 1276 82
611 961 82
1814 1847 84
1984 2004 85
811 1901 86
1468 1017 86
1621 1012 86
